127.0.0.1 - - [28/Sep/2020:02:49:07 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:49:08 +0300] "GET /MovieTicket/ HTTP/1.1" 200 8705
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:49:08 +0300] "GET /MovieTicket/images/vampire.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:49:08 +0300] "GET /MovieTicket/images/stevejobs.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:49:08 +0300] "GET /MovieTicket/images/unnamed.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:49:08 +0300] "GET /MovieTicket/images/movie2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:50:01 +0300] "POST /MovieTicket/book HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:50:16 +0300] "GET /MovieTicket/food.jsp HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:50:27 +0300] "POST /MovieTicket/food HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:50:46 +0300] "GET /MovieTicket/user.jsp HTTP/1.1" 200 8705
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:51:37 +0300] "POST /MovieTicket/login HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:51:52 +0300] "POST /MovieTicket/login HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:52:06 +0300] "POST /MovieTicket/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:52:06 +0300] "GET /MovieTicket/options.jsp HTTP/1.1" 200 5810
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:52:37 +0300] "POST /MovieTicket/userinput HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:52:37 +0300] "GET /MovieTicket/options.jsp HTTP/1.1" 200 5983
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:53:12 +0300] "POST /MovieTicket/schedule HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:53:49 +0300] "GET /MovieTicket/ HTTP/1.1" 200 8705
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:53:57 +0300] "POST /MovieTicket/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:53:57 +0300] "GET /MovieTicket/options.jsp HTTP/1.1" 200 5983
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:54:21 +0300] "POST /MovieTicket/schedule HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:54:21 +0300] "GET /MovieTicket/options.jsp HTTP/1.1" 200 5983
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:54:29 +0300] "GET /MovieTicket/user.jsp HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:55:14 +0300] "POST /MovieTicket/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:55:14 +0300] "GET /MovieTicket/options.jsp HTTP/1.1" 200 5983
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:55:36 +0300] "POST /MovieTicket/delete HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:02:55:36 +0300] "GET /MovieTicket/options.jsp HTTP/1.1" 200 5810
